Tipo de profesional;Sexo;años;Total
Enfermeros;Mujeres;2006;196.213
Enfermeros;Mujeres;2005;190.768
Enfermeros;Mujeres;2004;184.016
Enfermeros;Mujeres;2003;180.149
Enfermeros;Mujeres;2002;171.651
Enfermeros;Mujeres;2001;167.792
Enfermeros;Mujeres;2000;164.578
Enfermeros;Mujeres;1999;159.012
Enfermeros;Mujeres;1998;154.327
Enfermeros;Mujeres;1997;145.648
Enfermeros;Mujeres;1996;141.304
Enfermeros;Mujeres;1995;136.055
Enfermeros;Mujeres;1994;132.417
Enfermeros;Mujeres;1993;129.364
Enfermeros;Mujeres;1992;126.747
Enfermeros;Mujeres;1991;123.197
Enfermeros;Mujeres;1990;120.884
Enfermeros;Mujeres;1989;118.275
Enfermeros;Mujeres;1988;113.792
Enfermeros;Mujeres;1987;110.325
Enfermeros;Mujeres;1986;108.782
Enfermeros;Mujeres;1985;105.083
Enfermeros;Mujeres;1984;104.218
Enfermeros;Mujeres;1983;102.444
Enfermeros;Mujeres;1982;99.966
Enfermeros;Mujeres;1981;95.075
Enfermeros;Mujeres;1980;90.937
Enfermeros;Mujeres;1979;77.118
Enfermeros;Mujeres;1978;66.559
Enfermeros;Mujeres;1977;..
Enfermeros;Mujeres;1976;..
Enfermeros;Mujeres;1975;..
Enfermeros;Mujeres;1974;..
Enfermeros;Mujeres;1973;..
Enfermeros;Mujeres;1972;..
Enfermeros;Mujeres;1971;..
Enfermeros;Mujeres;1970;..
Enfermeros;Mujeres;1969;..
Enfermeros;Mujeres;1968;..
Enfermeros;Mujeres;1967;..
Enfermeros;Mujeres;1966;..
Enfermeros;Mujeres;1965;..
Enfermeros;Mujeres;1964;..
Enfermeros;Mujeres;1963;..
Enfermeros;Mujeres;1962;..
Enfermeros;Mujeres;1961;..
Enfermeros;Mujeres;1960;..
Enfermeros;Mujeres;1959;..
Enfermeros;Mujeres;1958;..
Enfermeros;Mujeres;1957;..
Enfermeros;Mujeres;1956;..
Enfermeros;Mujeres;1955;..
Enfermeros;Mujeres;1954;..
Enfermeros;Mujeres;1953;..
Enfermeros;Mujeres;1952;..
Enfermeros con título de Matrona;Total;2021;9.834
Enfermeros con título de Matrona;Total;2020;9.593
Enfermeros con título de Matrona;Total;2019;9.579
Enfermeros con título de Matrona;Total;2018;9.236
Enfermeros con título de Matrona;Total;2017;9.013
Enfermeros con título de Matrona;Total;2016;8.785
Enfermeros con título de Matrona;Total;2015;8.547
Enfermeros con título de Matrona;Total;2014;8.505
Enfermeros con título de Matrona;Total;2013;8.279
Enfermeros con título de Matrona;Total;2012;7.907
Enfermeros con título de Matrona;Total;2011;7.713
Enfermeros con título de Matrona;Total;2010;7.580
Enfermeros con título de Matrona;Total;2009;7.354
Enfermeros con título de Matrona;Total;2008;7.217
Enfermeros con título de Matrona;Total;2007;7.057
Enfermeros con título de Matrona;Total;2006;6.868
Enfermeros con título de Matrona;Total;2005;6.774
Enfermeros con título de Matrona;Total;2004;6.698
Enfermeros con título de Matrona;Total;2003;6.764
Enfermeros con título de Matrona;Total;2002;6.547
Enfermeros con título de Matrona;Total;2001;6.463
Enfermeros con título de Matrona;Total;2000;6.439
Enfermeros con título de Matrona;Total;1999;6.344
Enfermeros con título de Matrona;Total;1998;6.387
Enfermeros con título de Matrona;Total;1997;6.095
Enfermeros con título de Matrona;Total;1996;6.314
Enfermeros con título de Matrona;Total;1995;6.072
Enfermeros con título de Matrona;Total;1994;6.105
Enfermeros con título de Matrona;Total;1993;6.210
Enfermeros con título de Matrona;Total;1992;6.425
Enfermeros con título de Matrona;Total;1991;6.250
Enfermeros con título de Matrona;Total;1990;6.321
Enfermeros con título de Matrona;Total;1989;6.208
Enfermeros con título de Matrona;Total;1988;6.291
Enfermeros con título de Matrona;Total;1987;5.763
Enfermeros con título de Matrona;Total;1986;6.103
Enfermeros con título de Matrona;Total;1985;6.207
Enfermeros con título de Matrona;Total;1984;5.770
Enfermeros con título de Matrona;Total;1983;5.446
Enfermeros con título de Matrona;Total;1982;4.893
Enfermeros con título de Matrona;Total;1981;4.489
Enfermeros con título de Matrona;Total;1980;4.192
Enfermeros con título de Matrona;Total;1979;4.620
Enfermeros con título de Matrona;Total;1978;..
Enfermeros con título de Matrona;Total;1977;..
Enfermeros con título de Matrona;Total;1976;4.356
Enfermeros con título de Matrona;Total;1975;4.220
Enfermeros con título de Matrona;Total;1974;4.206
Enfermeros con título de Matrona;Total;1973;4.088
Enfermeros con título de Matrona;Total;1972;4.124
Enfermeros con título de Matrona;Total;1971;4.116
Enfermeros con título de Matrona;Total;1970;4.123
Enfermeros con título de Matrona;Total;1969;4.182
Enfermeros con título de Matrona;Total;1968;4.319
Enfermeros con título de Matrona;Total;1967;4.451
Enfermeros con título de Matrona;Total;1966;4.546
Enfermeros con título de Matrona;Total;1965;4.617
Enfermeros con título de Matrona;Total;1964;4.673
Enfermeros con título de Matrona;Total;1963;4.681
Enfermeros con título de Matrona;Total;1962;5.004
Enfermeros con título de Matrona;Total;1961;4.963
Enfermeros con título de Matrona;Total;1960;5.156
Enfermeros con título de Matrona;Total;1959;5.117
Enfermeros con título de Matrona;Total;1958;4.813
Enfermeros con título de Matrona;Total;1957;5.512
Enfermeros con título de Matrona;Total;1956;5.412
Enfermeros con título de Matrona;Total;1955;5.338
Enfermeros con título de Matrona;Total;1954;4.956
Enfermeros con título de Matrona;Total;1953;4.592
Enfermeros con título de Matrona;Total;1952;4.605
Enfermeros con título de Matrona;Hombres;2021;671
Enfermeros con título de Matrona;Hombres;2020;635
Enfermeros con título de Matrona;Hombres;2019;633
Enfermeros con título de Matrona;Hombres;2018;599
Enfermeros con título de Matrona;Hombres;2017;585
Enfermeros con título de Matrona;Hombres;2016;565
Enfermeros con título de Matrona;Hombres;2015;511
Enfermeros con título de Matrona;Hombres;2014;540
Enfermeros con título de Matrona;Hombres;2013;497
Enfermeros con título de Matrona;Hombres;2012;451
Enfermeros con título de Matrona;Hombres;2011;469
Enfermeros con título de Matrona;Hombres;2010;469
Enfermeros con título de Matrona;Hombres;2009;457
Enfermeros con título de Matrona;Hombres;2008;440
Enfermeros con título de Matrona;Hombres;2007;411
Enfermeros con título de Matrona;Hombres;2006;392
Enfermeros con título de Matrona;Hombres;2005;369
Enfermeros con título de Matrona;Hombres;2004;360
Enfermeros con título de Matrona;Hombres;2003;348
Enfermeros con título de Matrona;Hombres;2002;382
Enfermeros con título de Matrona;Hombres;2001;368
Enfermeros con título de Matrona;Hombres;2000;326
Enfermeros con título de Matrona;Hombres;1999;320
Enfermeros con título de Matrona;Hombres;1998;284
Enfermeros con título de Matrona;Hombres;1997;272
Enfermeros con título de Matrona;Hombres;1996;266
Enfermeros con título de Matrona;Hombres;1995;287
Enfermeros con título de Matrona;Hombres;1994;244
Enfermeros con título de Matrona;Hombres;1993;226
Enfermeros con título de Matrona;Hombres;1992;233
Enfermeros con título de Matrona;Hombres;1991;..
Enfermeros con título de Matrona;Hombres;1990;..
Enfermeros con título de Matrona;Hombres;1989;..
Enfermeros con título de Matrona;Hombres;1988;..
Enfermeros con título de Matrona;Hombres;1987;..
Enfermeros con título de Matrona;Hombres;1986;..
Enfermeros con título de Matrona;Hombres;1985;..
Enfermeros con título de Matrona;Hombres;1984;..
Enfermeros con título de Matrona;Hombres;1983;..
Enfermeros con título de Matrona;Hombres;1982;..
Enfermeros con título de Matrona;Hombres;1981;..
Enfermeros con título de Matrona;Hombres;1980;..
Enfermeros con título de Matrona;Hombres;1979;..
Enfermeros con título de Matrona;Hombres;1978;..
Enfermeros con título de Matrona;Hombres;1977;..
Enfermeros con título de Matrona;Hombres;1976;..
Enfermeros con título de Matrona;Hombres;1975;..
Enfermeros con título de Matrona;Hombres;1974;..
Enfermeros con título de Matrona;Hombres;1973;..
Enfermeros con título de Matrona;Hombres;1972;..
Enfermeros con título de Matrona;Hombres;1971;..
Enfermeros con título de Matrona;Hombres;1970;..
Enfermeros con título de Matrona;Hombres;1969;..
Enfermeros con título de Matrona;Hombres;1968;..
Enfermeros con título de Matrona;Hombres;1967;..
Enfermeros con título de Matrona;Hombres;1966;..
Enfermeros con título de Matrona;Hombres;1965;..
Enfermeros con título de Matrona;Hombres;1964;..
Enfermeros con título de Matrona;Hombres;1963;..
Enfermeros con título de Matrona;Hombres;1962;..
Enfermeros con título de Matrona;Hombres;1961;..
Enfermeros con título de Matrona;Hombres;1960;..
Enfermeros con título de Matrona;Hombres;1959;..
Enfermeros con título de Matrona;Hombres;1958;..
Enfermeros con título de Matrona;Hombres;1957;..
Enfermeros con título de Matrona;Hombres;1956;..
Enfermeros con título de Matrona;Hombres;1955;..
Enfermeros con título de Matrona;Hombres;1954;..
Enfermeros con título de Matrona;Hombres;1953;..
Enfermeros con título de Matrona;Hombres;1952;..
Enfermeros con título de Matrona;Mujeres;2021;9.163
Enfermeros con título de Matrona;Mujeres;2020;8.958
Enfermeros con título de Matrona;Mujeres;2019;8.946
Enfermeros con título de Matrona;Mujeres;2018;8.637
Enfermeros con título de Matrona;Mujeres;2017;8.428
Enfermeros con título de Matrona;Mujeres;2016;8.220
Enfermeros con título de Matrona;Mujeres;2015;8.036
Enfermeros con título de Matrona;Mujeres;2014;7.965
Enfermeros con título de Matrona;Mujeres;2013;7.782
Enfermeros con título de Matrona;Mujeres;2012;7.456
Enfermeros con título de Matrona;Mujeres;2011;7.244
Enfermeros con título de Matrona;Mujeres;2010;7.111
Enfermeros con título de Matrona;Mujeres;2009;6.897
Enfermeros con título de Matrona;Mujeres;2008;6.777
Enfermeros con título de Matrona;Mujeres;2007;6.646
Enfermeros con título de Matrona;Mujeres;2006;6.476
Enfermeros con título de Matrona;Mujeres;2005;6.405
Enfermeros con título de Matrona;Mujeres;2004;6.338
Enfermeros con título de Matrona;Mujeres;2003;6.416
Enfermeros con título de Matrona;Mujeres;2002;6.165
Enfermeros con título de Matrona;Mujeres;2001;6.095
Enfermeros con título de Matrona;Mujeres;2000;6.113
Enfermeros con título de Matrona;Mujeres;1999;6.024
Enfermeros con título de Matrona;Mujeres;1998;6.103
Enfermeros con título de Matrona;Mujeres;1997;5.823
Enfermeros con título de Matrona;Mujeres;1996;6.048
Enfermeros con título de Matrona;Mujeres;1995;5.785
Enfermeros con título de Matrona;Mujeres;1994;5.861
Enfermeros con título de Matrona;Mujeres;1993;5.984
Enfermeros con título de Matrona;Mujeres;1992;6.192
Enfermeros con título de Matrona;Mujeres;1991;..
Enfermeros con título de Matrona;Mujeres;1990;..
Enfermeros con título de Matrona;Mujeres;1989;..
Enfermeros con título de Matrona;Mujeres;1988;..
Enfermeros con título de Matrona;Mujeres;1987;..
Enfermeros con título de Matrona;Mujeres;1986;..
Enfermeros con título de Matrona;Mujeres;1985;..
Enfermeros con título de Matrona;Mujeres;1984;..
Enfermeros con título de Matrona;Mujeres;1983;..
Enfermeros con título de Matrona;Mujeres;1982;..
Enfermeros con título de Matrona;Mujeres;1981;..
Enfermeros con título de Matrona;Mujeres;1980;..
Enfermeros con título de Matrona;Mujeres;1979;..
Enfermeros con título de Matrona;Mujeres;1978;..
Enfermeros con título de Matrona;Mujeres;1977;..
Enfermeros con título de Matrona;Mujeres;1976;..
Enfermeros con título de Matrona;Mujeres;1975;..
Enfermeros con título de Matrona;Mujeres;1974;..
Enfermeros con título de Matrona;Mujeres;1973;..
Enfermeros con título de Matrona;Mujeres;1972;..
Enfermeros con título de Matrona;Mujeres;1971;..
Enfermeros con título de Matrona;Mujeres;1970;..
Enfermeros con título de Matrona;Mujeres;1969;..
Enfermeros con título de Matrona;Mujeres;1968;..
Enfermeros con título de Matrona;Mujeres;1967;..
Enfermeros con título de Matrona;Mujeres;1966;..
Enfermeros con título de Matrona;Mujeres;1965;..
Enfermeros con título de Matrona;Mujeres;1964;..
Enfermeros con título de Matrona;Mujeres;1963;..
Enfermeros con título de Matrona;Mujeres;1962;..
Enfermeros con título de Matrona;Mujeres;1961;..
Enfermeros con título de Matrona;Mujeres;1960;..
Enfermeros con título de Matrona;Mujeres;1959;..
Enfermeros con título de Matrona;Mujeres;1958;..
Enfermeros con título de Matrona;Mujeres;1957;..
Enfermeros con título de Matrona;Mujeres;1956;..
Enfermeros con título de Matrona;Mujeres;1955;..
Enfermeros con título de Matrona;Mujeres;1954;..
Enfermeros con título de Matrona;Mujeres;1953;..
Enfermeros con título de Matrona;Mujeres;1952;..
Enfermeros con título de Practicantes y ATS;Total;2021;..
Enfermeros con título de Practicantes y ATS;Total;2020;..
Enfermeros con título de Practicantes y ATS;Total;2019;..
Enfermeros con título de Practicantes y ATS;Total;2018;..
Enfermeros con título de Practicantes y ATS;Total;2017;..
